catid,ucatid,pcatid,low_pic,category_name.en_US,category_description.en_US,category_name.de_DE,category_description.de_DE,category_name.fr_FR,category_description.fr_FR,parentKey
560,45111602,558,http://images.icecat.biz/img/low_pic/560-3230.jpg,projector lamps,Lamp which enables a projector (beamer) to project/show images.,Projektorelampen,,lampes de projection,,45111600
561,45111603,558,http://images.icecat.biz/img/low_pic/561-3285.jpg,projection screens,Installation consisting of a surface and a support structure used for displaying a projected image for the view of an audience.,Projektionsleinwände,,écrans de projection,,45111600
562,45111604,558,http://images.icecat.biz/img/low_pic/562-5004.jpg,slide projectors,Opto-mechanical device to view photographic slides. Slide projectors have been around since the 1950s,Diaprojektoren,,projecteurs de diapositives,,45111600
565,45111607,558,http://images.icecat.biz/img/low_pic/565-8837.jpg,overhead projectors,"Type of slide projector that is used to display images to an audience. An overhead projector typically consists of a large box containing a very bright lamp and a fan to cool it. On top of the box is a large fresnel lens that collimates the light. Above the box, typically on a long arm, is a mirror and lens that focusses and redirects the light forward instead of up.",Overhead-Projektoren,,rétroprojecteurs,,45111600
566,45111608,558,http://images.icecat.biz/img/low_pic/566-349.jpg,film projectors,"Opto-mechanical device for displaying motion picture film by projecting it onto a screen. Most of the optical and mechanical elements, except for the illumination and sound devices, are present in movie cameras.",Filmprojektoren,,projecteurs de film,,45111600
567,45111609,558,http://images.icecat.biz/img/low_pic/567-8731.jpg,data projectors,"Use a beamer to project the images from your notebook, computer, DVD-player, video recorder or other device with a compatible connector on the wall or a specially-designed projection screen. With a device like this, giving professional, clear presentations is easy. Or make your own home cinema!",Beamer,"Verwenden Sie einen Beamer, um Bilder aus Ihrem Notebook, Computer, DVD-Player, Videorecorder oder einem anderen Gerät mit einem passenden Stecker an eine Wand oder eine speziell entwickelte Projektionsfläche zu projizieren. Mit einem Gerät wie diesem wird es leicht, professionelle, klare Präsentationen zu halten. Oder bauen Sie Ihr eigenes Heimkino!",vidéo-projecteurs,,45111600
571,45121500,2833,,cameras & camcorders,"A camera is a device used to capture images, as still photographs or as sequences of moving images (movies or videos). The term as well as the modern-day camera evolved from the camera obscura, Latin for ""dark chamber"", an early mechanism for projecting images, in which an entire room functioned as a real-time imaging system. Cameras may work with the light of the visible spectrum or with other portions of the electromagnetic spectrum. A camera generally consists of some kind of enclosed hollow, with an opening or aperture at one end for light to enter, and a recording or viewing surface for capturing the light at the other end. Most cameras have a lens positioned in front of the camera's opening to gather the incoming light and to focus the image, or part of the image, on the recording surface. The diameter of the aperture is often controlled by a diaphragm mechanism, but some cameras have a fixed-size aperture.",Kameras &Camcorders,"Eine Kamera ist ein Gerät, das verwendet wird, um Bilder als unbewegte Photographien oder als Sequenz beweger Bilder (Filme oder Videos_ zu erfassen. Der Begriff sowie die moderne Kamera entwickelte sich aus der Camera obscura, lateinisch für"" dunkle Kammer "", einem frühen Mechanismus zur Projektion von Bildern, in denen ein ganzes Zimmer als Echtzeit-Imaging-System funktionierte. Kameras können mit dem Licht des sichtbaren Spektrums oder mit anderen Teilen des elektromagnetischen Spektrums arbeiten. Eine Kamera besteht im Allgemeinen aus einer Art geschlossenem Hohlraum, mit einer Öffnung oder Blende an einem Ende, um Licht einzulassen und einer Aufnahme- oder Sichtfläche für die Aufnahme des Lichts am anderen Ende. Die meisten Kameras haben eine Linse vor der Kameraöffnung, um das einfallende Licht zu bündeln und das Bilder, oder einen Teil des Bildes, auf die Aufnahmefläche zu fokussieren. Der Durchmesser der Öffnung wird oft durch eine Photoblenden-Mechanismus kontrolliert, aber einige Kameras haben eine Blende mit fester Größe.",photos et vidéos,,43000000
574,45121503,571,http://images.icecat.biz/img/low_pic/574-4346.jpg,film cameras,Cameras which store devices on a replacable film such as 35mm film.,Filmkameras,,caméras vidéos,,45121500
575,45121504,571,http://images.icecat.biz/img/low_pic/575-8480.jpg,digital cameras,"With a digital camera all the pictures you make are stored digitally, which means you can instantly view a picture after you have taken it and take as many pictures as you like, without having to buy new films all the time. It is easy to download the pictures from your camera to your computer, either at home or at the shop and edit them before printing. Once they are on your computer, you can easily share your pics with the rest of the world by putting them on-line, or e-mailing them to friends.",Digitale Kameras,"Mit einer digitalen Kamera werden alle Bilder, die Sie machen digital gespeichert und sofort nach der Aufnahme als Bild angezeigt. Dies bedeutet, dass Sie so viele Bilder machen können wie Sie möchten ohne dauernd neue Filme kaufen zu müssen. Es ist einfach, die Bilder von Ihrer Kamera auf Ihren Computer herunterladen, entweder zu Hause oder im Geschäft und sie vor dem Druck zu bearbeiten. Sobald sie auf Ihrem Computer sind, können Sie Ihre Bilder  ganz einfach mit dem Rest der Welt teilen, indem Sie sie online stellen oder per E-Mail an Freunde verschicken.",appareils photos numériques,,45121500
577,45121506,571,http://images.icecat.biz/img/low_pic/577-7745.jpg,webcams,A webcam is a digital video camera that has to be connected directly to a computer or network and cannot be used seperately. Webcams are perfect for video calling and chatting: finally you can see your faraway friends or family while talking/chatting! Network attached webcams can be used as affordable security cameras.,Webcams,"Eine Webcam ist eine digitale Videokamera, die direkt an einen Computer oder ein Netzwerk angeschlossen werden muss und nicht separat genutzt werden kann. Webcams eignen sich hervorragend für Video-Telefonie und Chat: Endlich können Sie Ihre fernen Freunden oder Ihre Familie beim Sprechen/Chatten sehent! Network Attached Webcams können als erschwingliche Sicherheits-Kameras verwendet werden.",webcams,,45121500
584,45121515,571,http://images.icecat.biz/img/low_pic/584-2775.jpg,camcorders,Hand-held camcorders allow you to record your own video and make photoshots. You can always have such cameras with you to record the important moments of your life and share them with friends or family. You can even make your own movie!,Digitale Videokameras,"Mit tragbaren Camcordern können Sie Ihre eigenen Video-Aufzeichnung und Filmaufnahmen machen. Diese Art Kamera können Sie jederzeit bei sich haben, um die wichtigen Momente Ihres Lebens aufzunehmen und mit Freunden oder Familie zu teilen. Sie können sogar Ihren eigenen Film drehen!",caméscopes numériques,,45121500
585,45121600,571,,camera accessories,Accessories used with a camera such as cases and tripods.,Kamerazubehör,,accessoires & consommables d'appareil photo,,45121500
586,45121601,585,http://images.icecat.biz/img/low_pic/586-5441.jpg,camera flashes,"Part of a camera that produces a brief very bright light, used for taking photographs in poor light",Kamerablitze u. -beleuchtung,,flashs,,45121600
587,45121602,585,http://images.icecat.biz/img/low_pic/587-4758.jpg,tripods,"Portable three-legged frame, used as a platform for supporting the weight and maintaining the stability of some other object such as a camera.",Stative,,trépieds,,45121600
588,45121603,585,http://images.icecat.biz/img/low_pic/588-4317.jpg,camera lenses,"The light-gathering device of a camera, typically containing a group of compound lenses. Lenses come in different lengths, with very long lens used for long-distance photography.",Kameraobjektive,,lentilles et filtres d'appareil photo,,45121600
597,45131501,585,http://images.icecat.biz/img/low_pic/597-4006.jpg,colour films,Films where pictures can be developed or shown in colour.,Farbfilme,,pellicules couleurs,,45121600
598,45131502,585,http://images.icecat.biz/img/low_pic/598-4241.jpg,black & white films,Films where pictures are developed or shown in black and white.,Schwarz-Weiß-Filme,,pellicules noir et blanc,,45121600
599,45131503,585,http://images.icecat.biz/img/low_pic/599-2601.jpg,instant picture films,Films where pictures are developed/printed instantly e.g. Polaroid cameras,Sofortbildfilme,,pellicules polaroid,,45121600
604,45131604,585,http://images.icecat.biz/img/low_pic/604-8905.jpg,blank video tapes,Video tapes which are blank so data can be recorded on them using a video recorder / VCR.,Videobänder,,cassettes vierges,,45121600
692,14111500,225,,printing media,"Different mediums which can support printed material, such as paper, card and plastic.",Druckerpapier,,papiers imprimante,,43172500
700,14111508,692,http://images.icecat.biz/img/low_pic/700-3689.jpg,fax paper,Paper used in a fax machine (facsimile).,Faxpapier,,papiers fax,,14111500
702,14111510,692,http://images.icecat.biz/img/low_pic/702-3539.jpg,plotter paper,Paper used for printing vector graphics.,Plotterpapier,,papiers rouleau,,14111500
704,14111512,854,http://images.icecat.biz/img/low_pic/704-195.jpg,graph paper,Paper with a faint grid printed on it where you can draw different types of graph.,Millimeterpapier,,papiers graphique,,14111511
705,14111513,854,http://images.icecat.biz/img/low_pic/705-7393.jpg,ledger paper,,Kontierungspapier,,papiers de comptabilité,,14111511
706,14111514,854,http://images.icecat.biz/img/low_pic/706-6193.jpg,writing notebooks,"Notebooks of various sizes, often containing lined/ruled paper, used for writinh notes.",Notizbücher,,blocs-notes,,14111511
708,14111516,854,http://images.icecat.biz/img/low_pic/708-5166.jpg,notebook filler paper,Lined/ruled paper used in notebooks or placed into folders/binders. Often with punch holes in the left hand margin to allow easy storage.,Notizbuchpapier,,recharges de papier,,14111511
709,14111517,854,http://images.icecat.biz/img/low_pic/709-5196.jpg,business forms,"Forms used by businesses to get information from customers re. orders, personal info etc.",Geschäftsformulare,,formulaires commerciaux,,14111511
710,14111518,854,http://images.icecat.biz/img/low_pic/710-8363.jpg,index cards,"Index cards are heavy pieces of paper cut to a standard size, used for recording and storing small amounts of discrete data.",Karteikarten,,intercalaires,,14111511
714,14111522,692,http://images.icecat.biz/img/low_pic/714-4366.jpg,printing paper,"Paper for use with ink jet printers, often with a special coating that makes the ink dry faster and/or last longer without fading.",Druckerpapier,"Papier für die Verwendung mit Tintenstrahldruckern, oft mit einer speziellen Beschichtung versehen, die Tinte schneller trocknen lässt und/oder sie länger ohne Verblassen haltbar macht",papiers jet d'encre,,14111500
717,14111604,692,http://images.icecat.biz/img/low_pic/717-366.jpg,business cards,Small cards giving information and contact details about a employee or a company.,Visitenkarten,,cartes de visite,,14111500
718,14111605,692,http://images.icecat.biz/img/low_pic/718-7330.jpg,greeting cards,"Cards sent with a particular message e.g thank you, good luck, or on a special occasion e.g. birthday. They usually have an image and text on the outside, and a hand-written note inside.",Grußkarten,,cartes de voeux,,14111500
787,81111811,839,,installation services,"Services to help with the installation of a piece of computer software or hardware, or another device such as a TV.",Installationsservice,,services d'installation,,81110000
788,81111812,839,http://images.icecat.biz/img/low_pic/788-7447.jpg,warranty & support extensions,"Extending the warranty & support beyond that offered by the manufacturer/retailer, so that the purchase is covered for a longer period of time.",Garantieverlängerungen,,extensions de garantie et support,,81110000
803,81112202,2,http://images.icecat.biz/img/low_pic/803-2789.jpg,software licenses/upgrades,"A software licence permits you to use a piece of software legally. An software upgrade is a newer or better version, in order to bring the software up to date or to improve its characteristics.",Software-Lizenzen/-Upgrades,,licences et mises à jour de logiciel,,43160000
814,26111701,2557,http://images.icecat.biz/img/low_pic/814-2767.jpg,rechargeable batteries,"In this category you will find all the rechargeable batteries you will ever need, suitable for use in torches, digital cameras, notebooks, etc.",Wiederaufladbare Batterien,"In dieser Kategorie finden Sie alle Akkus (wiederaufladebare Batterien), die Sie jemals brauchen werden, geeignet für den Einsatz in Taschenlampen, Digitalkameras, Notebooks, etc.",batteries rechargeables,,26111700
816,30211500,2554,http://images.icecat.biz/img/low_pic/816-4077.jpg,other power supplies,Various ways in which you get electricity for your devices.,Stromversorgungen,,alimentations d'énergie,,39120000
817,39121011,2555,http://images.icecat.biz/img/low_pic/817-8845.jpg,uninterruptible power supplies (UPSs),"Once you have a UPS (Uninterruptible Power Supply), there is no need to fear for data loss due to power outages. If the duration of the outage is short, you can work on without being disturbed, and if it takes longer, you will have more than enough time to save your work and safely turn off your computer.",Unterbrechungsfreie Stromversorgungen (USP),"Sobald Sie eine USV (unterbrechungsfreie Stromversorgung) haben, brauchen Sie keine Angst mehr vor Datenverluste aufgrund von Stromausfällen zu haben. Wenn die Dauer des Ausfalls kurz ist, können Sie ungestört weiterarbeiten, und wenn es länger dauert, haben Sie mehr als genug Zeit, Ihre Arbeit zu speichern und Ihren Computer sicher auszuschalten.",alimentations d'énergie non interruptible,,39121000
819,46170000,2868,,security devices,"Security means protecting something, keeping it safe and meaning it cannot be attacked, infiltrated or otherwise damaged.",Sicherheitsgeräte,,Dispositifs de sécurité,,46178000
820,46171688,2868,http://images.icecat.biz/img/low_pic/820-4413.jpg,security device components,Components that give security to your devices such as password protection.,Zubehör Sicherheitsgeräte,,security device components,,46178000
822,53121705,823,http://images.icecat.biz/img/low_pic/822-3078.jpg,equipment cases,"Cases for storing pieces of equipment such as cameras, laptops, tripods.",Ausrüstungskoffer,,sacoches d'équipements,,53120000
823,53120000,1575,,bags & cases,Bags and cases enable you to transport things comfortably and safely.,Taschen & Koffer,,sacs et valises,,53100000
826,53121603,823,http://images.icecat.biz/img/low_pic/826-1215.jpg,backpacks,Carry your notebook safely and comfortably in one of these backpacks!,Rucksäcke,Tragen Sie Ihr Notebook sicher und komfortabel in einem dieser Rucksäcke!,sacs à dos,,53120000
827,39121006,2555,http://images.icecat.biz/img/low_pic/827-1326.jpg,power adapters & inverters,"A power adapter connects a device into the mains electricity through a plug. They are used with  electrical devices that require power but do not contain internal components to derive the required voltage and power from mains power. A power inverter, or inverter, is an electronic device or circuitry that changes direct current (DC) to alternating current (AC).",Netzteile & Spannungsumwandler,,adaptateurs de puissance & onduleurs,,39121000
829,26111704,2557,http://images.icecat.biz/img/low_pic/829-8391.jpg,battery chargers,"Devices which you can plug into the mains and use them to charge up a battery in a mobile phone, laptop, digital camera or other portable device.",Ladegeräte,,chargeurs de batterie,,26111700
830,26121600,2833,,computer cables,Cables used to connect computers to power supplies and other devices such as printers.,Kabel für Computer und Peripherie,,câbles pour ordinateurs et périphériques,,43000000
832,43222501,242,http://images.icecat.biz/img/low_pic/832-1932.jpg,hardware firewalls,"By placing a firewall between your local network (LAN/WLAN) and the Internet, you can make it very hard for hackers to gain access to your local network. That is, if you have configured your firewall correctly. This can be especially important for businesses and people with sensitive information on their computer systems. A very neat function most hardware firewalls have is the ability to securely connect the local area network to other local area networks in different locations over the Internet, thus creating a Virtual Private Network (VPN). With VPN you can safely share network resources with remote offices or play games with your friends as if you were on the same LAN!",Firewalls (Hardware),"Indem Sie eine Firewall zwischen Ihrem lokalen Netzwerk (LAN / WLAN) und dem Internet platzieren, können Sie es sehr schwer für Hacker und andere finstere Leute, die das Internet verunsichern, machen, sich Zugang zu Ihrem lokalen Netzwerk zu verschaffen. Das heißt, wenn Sie Ihre Firewall richtig konfiguriert haben. Dies kann besonders wichtig für Unternehmen und Menschen mit sensiblen Informationen auf ihren Computer-Systemen sein. Eine sehr nützliche Funktion die, die meisten Hardware-Firewalls haben, ist die Fähigkeit, eine sichere Verbindung des lokalen Netzwerk zu anderen lokalen Netzwerken an verschiedenen Standorten über das Internet zu erstellen, wodurch ein Virtual Private Network (VPN) entsteht. Mit VPN können Sie genauso sicher wie auf dem gleichen LAN  Netzwerkressourcen mit entfernt liegenden Büros teilen oder Spiele mit Freunden spielen!",pare-feux (matériel),,43221700
833,43222605,242,http://images.icecat.biz/img/low_pic/833-3483.jpg,gateways/controllers,"A gateway is a router or a proxy server that routes between networks. A controller is a chip, an expansion card, or a stand-alone device that interfaces with a peripheral device.",Gateways/Controllers,,entrées et régulateurs,,43221700
836,55101521,2,http://images.icecat.biz/img/low_pic/836-8452.jpg,software manuals,"Instructions on how to use software, may come on paper, online or in a digital format.",Software-Handbücher,,livres & manuels de logiciels,,43160000
839,81110000,2833,,warranty & support,"A warranty is a written guarantee, issued to the purchaser of an article by its manufacturer, promising to repair or replace it if necessary within a specified period of time. Support means help with set-up and use of a device, and if there are any problems with it.",Garantie & Support,,garanties et supports,,43000000
840,44101708,373,http://images.icecat.biz/img/low_pic/840-6737.jpg,ozone filters,A filter for ozone is placed on a laser printer or copier to prevent ozone escaping into the air of the office.,Ozonfilter,,filtres d'ozone,,44103100
842,44101504,225,http://images.icecat.biz/img/low_pic/842-1094.jpg,digital senders,Devices used for scanning and mailing of documents.,Digitale Sender,Scannen und Versenden von Documenten,expéditeurs digitaux,Scanning and mailing of documenten,43172500
843,13111200,225,,printer films,Film that can be printed on and then used e.g. for presentations on projectors,Druckerfolien,,films d'impression,,43172500
844,13111299,843,http://images.icecat.biz/img/low_pic/844-3150.jpg,matt white films,Film that can be printed on by laser printers and photocopies and then used for presentations and for signs.,Mattweiß-Folien,,films blanc mat,,13111200
845,14111599,692,http://images.icecat.biz/img/low_pic/845-1676.jpg,printable textiles,Textiles which can be used in printers to print designs and text onto them.,Bedruckbare Textilien,,textiles imprimables,,14111500
846,44103110,373,http://images.icecat.biz/img/low_pic/846-7485.jpg,print heads,"These are part of inkjet printers, which prints ink onto paper. They are fixed heads, which are built into the printer, or disposable heads, which are built into the disposable ink carttridges.",Druckköpfe,,têtes d’impression,,44103100
847,14121812,692,http://images.icecat.biz/img/low_pic/847-3895.jpg,photo paper,Photo paper has been specially designed for printing photographs. Use it to make perfect prints of your pictures!,Fotopapier,Photo Papier wurde speziell für Fotodruck entwickelt. Verwenden Sie es um perfekte Abzüge Ihrer Fotos zu machen!,papiers photos,,14111500
848,13111211,843,http://images.icecat.biz/img/low_pic/848-9648.jpg,polypropylene films,"Also known as PP film, this is a type of plastic film.",Polypropylen-Folien,,films polypropylène,,13111200
850,52161543,1058,http://images.icecat.biz/img/low_pic/850-7499.jpg,MP3/MP4 players,MP3s are ways of compressing digitally-stored music and is the Internet-used standard. MP4s can be used to compress various types of data including music and video. MP3/MP4 players are small portable devices used to playing back music files. MP3/MP4 players are extremely small and most of them have no moving parts.,MP3/MP4 Player,"MP3, steht für ""MPEG 1 Layer 3"", ist ein hoch-effizientes Verfahren zur Kompression digital gespeicherter Musik und wird als Internet-Standard verwendet. Der MP3-Player ist ein kleines tragbares Gerät zum Abspielen von Musikdateien, die im MP3 und anderen unterstützten Formaten gespeichert wurden. Musik aus normalen CDs können in das MP3-Format konvertiert werden. MP3 Datenreduktion wird Ihre Musik Speicherkapazität mehr als zehn Mal erhöht. Aus diesem Grund können MP3-Spieler extrem klein sein und die meisten von ihnen haben keine beweglichen Teile, wodurch sie perfekt für das Hören von Musik auf der Straße oder beim Sport sind.",lecteurs et enregistreurs MP3/MP4,,52160000
853,44103118,843,http://images.icecat.biz/img/low_pic/853-2382.jpg,transparancy films,Transparent films can be printed on or written on directly. These can then be used in presentations with a projector.,Transparentfolien,,films transparents,,13111200
854,14111511,300,,writing paper,"Paper used for writing, comes in various sizes and colours.",Schreibpapier,,papiers à écrire,,44100000
857,52161525,1058,http://images.icecat.biz/img/low_pic/857-2621.jpg,remote controls,These devices make it possible to control your home equipment from a distance. Never get up again!,Fernbedienungen,"Diese Geräte ermöglichen es, Geräte zu Hause aus der Ferne steuern. Nie wieder aufstehen!",télécommandes,,52160000
858,43172396,2840,http://images.icecat.biz/img/low_pic/858-1213.jpg,card readers,"Card readers and drives with built-in card readers are used for reading from/writing to flash memory cards, for example from your digital camera or cellphone.",Kartenleser,"Kartenleser und Laufwerke mit integriertem Card-Reader zum Lesen/Schreiben von/auf Flash-Speicherkarten, zum Beispiel von Ihrer Digitalkamera oder Ihrem Handy.",lecteurs de carte mémoire,,43201800
859,45111699,558,http://images.icecat.biz/img/low_pic/859-3545.jpg,projector accessories,Different accessories to be used with a proector such as a stand and screen.,Projektor-Zubehör,,accessoires de projecteur,,45111600
860,44101721,1305,http://images.icecat.biz/img/low_pic/860-6814.jpg,media spindles,"A plastic storage device for bundles of CDs, DVDS etc.",Medien-Spindeln,,CDs sur support axial,,44101700
862,56101530,236,http://images.icecat.biz/img/low_pic/862-8043.jpg,HDD/SSD enclosures,A hard disk enclosure is a specialized casing designed to hold and power hard disks while providing a mechanism to allow them to communicate to one or more separate computers.,Speichergehäuse,,boites de stockage,,43172600
867,30211810,830,http://images.icecat.biz/img/low_pic/867-8538.jpg,wire connectors,Wires to connect two or more components.,Drahtverbinder,,connecteurs de fils,,26121600
868,55121608,692,http://images.icecat.biz/img/low_pic/868-5779.jpg,bar code labels,Labels for printing bar codes for products.,Barcode-Etiketten,,étiquettes code barre,,14111500
869,26121629,830,http://images.icecat.biz/img/low_pic/869-2838.jpg,power cables,"A power cable, also known as a power cord, is used for the transmission of electrical power.",Stromkabel,,cables électriques,,26121600
872,43232801,67,,network monitoring software,"Software that constantly monitors a computer network for slow or failing components and that notifies the network administrator (via email, SMS or other alarms) in case of outages. It is a subset of the functions involved in network management.",Netzwerk-Monitor-Software,,logiciels de surveillance de réseau,,43232900
875,43232907,67,,storage networking software,"Storage networking is the practice of linking together storage devices and connecting them to other IT networks. Storage networks provide a centralized repository for digital data that can be accessed by many users, and they use high-speed connections to provide fast performance. Storage networks can be controlled by storage network software.",Speichernetzwerk-Software,,logiciels de réseau de stockage,,43232900
878,43162899,67,,firewall software,"Firewall software is a network security system that controls the incoming and outgoing network traffic by analyzing the data packets and determining whether they should be allowed through or not, based on applied rule set.",Firewall-Software,,logiciels de pare-feu,,43232900
880,26121616,242,http://images.icecat.biz/img/low_pic/880-6583.jpg,telephony cables,Cables used to transmit telephone signals.,Telefonkabel,,cables de téléphone,,43221700
883,26121609,242,http://images.icecat.biz/img/low_pic/883-923.jpg,networking cables,"Any type of network has its own type of cables. Today's standard for home and office use is Ethernet. For Fast Ethernet and Gigabit Ethernet you need at least category 5 cabling. Ethernet cables can have their connectors attached in two different ways: ordinary or cross linked. You will most likely need the ordinary version, unless you want to connect two devices directly to each other, and even then most modern Ethernet network devices will automatically detect the type of cable you are using and adapt their settings to it, so they will work with both types.",Netzwerkkabel,"Jede Art von Netzwerk hat eine eigene Art von Kabeln. Der heutige Standard für Heim und Büro ist Ethernet. Für Fast-Ethernet und Gigabit-Ethernet, benötigen Sie mindestens Kategorie 5-Verkabelung. Ethernet-Kabel können ihre Anschlüsse auf zwei verschiedene Weisen befestigen: gewöhnlich oder vernetzt. Sie werden wahrscheinlich die normalen Version benötigen, es sei denn Sie wollen zwei Geräte direkt miteinander verbinden, und selbst dann erkennen die meisten modernen Ethernet-Netzwerkgeräte automatisch die Art des Kabels, das Sie verwenden und passen ihre Einstellungen an, so dass sie mit beiden Typen funktionieren.",câbles de réseau,,43221700
885,43233501,2,,email clients,Computer program used to access and manage email.,E-Mail Clients,,logiciels d'email,,43160000
886,43233503,21,,conferencing software,Computer program used to make conference calls.,Konferenz-Software,,logiciels de conférence,,43232100
887,43233504,21,,instant messaging software,Computer program used to send instant messages to other users over the internet.,Instant Messaging Software,,logiciels de messagerie instantanée,,43232100
888,43171898,154,http://images.icecat.biz/img/low_pic/888-8035.jpg,handheld device accessories,Accessories for handheld devices such as screen protectors and cases.,PDA Zubehör,,"PDAs, GPSs, téléphones portables et accessoires",,43171804
889,44101720,1305,,language fonts,"Fonts are different typefaces e.g. Arial, Times New Roman.",Schriftarten,,polices de charactères,,44101700
890,43201407,2844,http://images.icecat.biz/img/low_pic/890-8732.jpg,peripheral controllers,"These run a peripheral device and are either contained on a plug-in expansion board or on the motherboard. In larger computers, a controller may be contained on one or more boards or in an external, stand-alone cabinet.",Peripherie Controller,Peripherie-Controller,contrôleurs périphériques,,43201400
893,43232500,2,http://images.icecat.biz/img/low_pic/893-1384.jpg,navigation software,"In this category you will find software for planning your route to your destination, like extra maps for your GPS, but also software with which you can plan your route at home and print it for use on the road.",Navigations-Software,"In dieser Kategorie finden Sie Software für die Planung der Route zu Ihrem Ziel, wie beispielsweise zusätzliche Karten für Ihr GPS, aber auch Software, mit welcher Sie Ihre Route zu Hause planen und für den Einsatz während der Fahrt drucken können.",logiciels GPS,,43160000
894,43201507,2844,http://images.icecat.biz/img/low_pic/894-784.jpg,daughterboards,"Daughterboards, also called ""mezzanine cards"", are printed circuit boards that plug into another printed circuit board, which plugs into the main board (motherboard).",Daughterboards,,cartes filles,,43201400
896,43211506,150,http://images.icecat.biz/img/low_pic/896-7461.jpg,thin clients,Client machine that relies on the server to perform the data processing. Either a dedicated thin client terminal or a regular PC with thin client software is used to send keyboard and mouse input to the server and receive screen output in return. The thin client does not process any data; it processes only the user interface (UI). The benefits are improved maintenance and security due to central administration of the hardware and software in the datacenter.,Thin Clients,,clients légers/PC lame,,43171800
897,43211509,150,http://images.icecat.biz/img/low_pic/897-8269.jpg,tablets,"Mobile computer with display, circuitry and battery in a single unit. Tablets are equipped with sensors, including cameras, microphone, accelerometer and touchscreen, with finger or stylus gestures replacing computer mouse and keyboard.",Tablets,"Ein Tablet PC ist ein tragbarer Computer mit Touchscreen, also eine extra vielseitige Version eines Notebooks. Sind Sie unterwegs und wollen Sie jederzeit und überall arbeiten können? Möchten Sie in der Lage sein, Zeichnungen zu machen oder mit einem Stift direkt auf Ihrem Computer zu schreiben? Dann ist der Tablet PC die ideale Lösung für Sie!",tablettes,,43171800
900,43232107,21,http://images.icecat.biz/img/low_pic/900-3184.jpg,HTML editors,Computer program for creating web pages.,HTML-Editoren,,éditeurs HTML,,43232100
902,32101622,2840,http://images.icecat.biz/img/low_pic/902-7288.jpg,memory cards,"Flash memory comes in different types and is used by all kinds of products, e.g. cameras, MP3-players, telephones. The great advantage of flash memory is that it has no moving parts, so it is shock resistant and hardly wears. It is also very small and very light, which makes it perfect for use in portable digital devices.",Speicherkarten,"Flash-Speicher gibes es in verschiedenen Arten und er wird von allen Arten von Produkten verwendet, z.B. Kameras, MP3-Player, Telefone. Der große Vorteil von Flash-Speicher liegt darin, dass er keine beweglichen Teile hat und somit stoßfest ist, so dass es stoßfest ist und sich kaum abnutzt. Es ist außerdem sehr klein und sehr leicht, was ihn ideal zum Einsatz in tragbaren digitalen Geräten macht.",mémoires flash,,43201800
903,43211904,220,http://images.icecat.biz/img/low_pic/903-5859.jpg,plasma TVs,"Plasma panels have fairly large pixels and are therefore mostly available in large sizes. These screens are flat and thin and their main advantage over LCD screens is that colours look the same, regardless of the angle from which you are viewing the screen. Plasma panels are very well suited for use as television or for displaying information and ads in public spaces.",Plasma-Fernseher,"Plasma-Panels haben ziemlich große Pixel und sind daher meist in großen Größen erhältlich. Diese Bildschirme sind flach und dünn, und ihre große Vorteil gegenüber LCD-Bildschirmen ist, dass Sie die gleichen Farben sehen, unabhängig des Betrachtungswinkels aus welchem Sie den Bildschirm anschauen. Plasma-Panels eignen sich sehr gut zum Einsatz als Fernseher oder zur Anzeige von Informationen und Werbung im öffentlichen Raum.",écrans plasma,,43172400
904,43232303,2,http://images.icecat.biz/img/low_pic/904-3311.jpg,CRM software,Computer programs that deal with Customer Relationship Management (CRM).,CRM Software,Customer Relationship Management Software ( Kundenbeziehungsmanagement Software),logiciels CRM,Logiciel de gestion de rapport de client,43160000
905,44103112,373,http://images.icecat.biz/img/low_pic/905-9158.jpg,printer ribbons,Ribbon for printers that need this for printing. Please make sure you purchase the right type for your printer.,Farbbänder,"Farbband für Drucker, die diese für den Druck benötigen. Bitte stellen Sie sicher, dass Sie den richtigen Typ für Ihren Drucker kaufen.",rubans d'impression,,44103100
907,44101603,300,http://images.icecat.biz/img/low_pic/907-2108.jpg,paper shredders,Paper shredders cut up paper into small pieces so that the info on the paper cannot be read any more. This is important when disposing of paper which contains confidential information.,Aktenvernichter,"Stellen Sie sicher, dass die vertraulichen Informationen, die Sie nicht mehr benötigen, für immer verschwinden. Verwenden Sie einen Aktenvernichter!",destructeurs de papier,,44100000
909,43223108,242,http://images.icecat.biz/img/low_pic/909-2697.jpg,WLAN access points,With a WLAN (Wireless Local Area Network) access point you can build your own wireless network and share network resources like printers and storage space. You can even share one internet connection with your entire wireless local area network by connecting your access point (by Ethernet) to your (A)DSL or cable modem with built in router/DHCP server!,WLAN Access Points,"Mit einem WLAN (Wireless Local Area Network)-Zugangspunkt können Sie Ihr eigenes drahtloses Netzwerk aufbauen und Netzwerkressourcen wie Drucker und Speicher teilen. Sie können sogar eine Internet-Verbindung mit Ihrem gesamten Wireless Local Area Network teilen, indem Sie Ihren Zugangspunkt (per Ethernet) an Ihr (A) DSL oder Kabelmodem mit integriertem Router in / DHCP-Server anschließen!",points d'accès réseaux locaux sans fil,WLAN - points d'accès pour réseaux sans fil,43221700
